CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/λ) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-π₀),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W]
10,10000,95,0.86,0.92,121.89,8.2,128.91,130.06,130.08,1.08,11.25,11.54,11.3,2,121.81,1666510,0.78,1.64
10,10000,95,0.86,0.85,121.94,8.2,120.31,129.31,129.34,1.18,10.34,9.62,10.4,2,121.87,1632100,0.76,1.47
10,10000,95,0.86,0.84,121.37,8.24,122.71,129.34,129.36,1.19,10.2,10.11,10.25,2,121.3,1640300,0.76,1.54
20,10000,95,1.72,1.68,121.9,8.2,134.89,138.46,138.48,0.59,20.5,20.31,20.51,3,121.82,1859310,0.95,2.04
20,10000,95,1.72,1.71,121.69,8.22,149.55,140.26,140.27,0.58,20.79,22.33,20.8,3,121.6,1876800,0.96,1.99
20,10000,95,1.72,1.73,121.75,8.21,137.16,137.95,137.97,0.58,21,21.25,21.01,3,121.67,1872930,0.96,2.12
20,10000,95,1.72,1.76,122.05,8.19,147.07,140.11,140.12,0.57,21.52,23.1,21.53,3,121.98,1869760,0.97,2.23
20,10000,95,1.72,1.79,121.86,8.21,140.38,138.6,138.62,0.56,21.77,22.47,21.78,3,121.78,1872420,0.98,2.01
20,10000,95,1.72,1.66,121.42,8.24,129.11,137.52,137.53,0.6,20.18,19.35,20.19,2,121.34,1882760,0.95,1.99
20,10000,95,1.72,1.68,122.08,8.19,141.31,137.92,137.93,0.6,20.45,20.79,20.46,3,122,1855550,0.95,2.14
20,10000,95,1.72,1.68,121.64,8.22,138.43,138.37,138.38,0.59,20.46,20.51,20.47,3,121.57,1830840,0.95,2.1
20,10000,95,1.72,1.7,121.53,8.23,134.62,137.37,137.38,0.59,20.68,19.77,20.69,3,121.46,1863240,0.96,2.02
20,10000,95,1.72,1.65,122.14,8.19,141.65,138.11,138.13,0.61,20.15,20.75,20.17,4,122.07,1846220,0.95,1.98
30,10000,95,2.58,2.48,121.92,8.2,151.7,150.21,150.22,0.4,30.28,29.89,30.25,4,121.85,1954370,1.14,2.52
30,10000,95,2.58,2.72,121.47,8.23,165.05,154.79,154.8,0.37,33.02,35.61,32.97,4,121.4,1933390,1.18,3.03
30,10000,95,2.58,2.57,121.6,8.22,156.27,151.98,151.99,0.39,31.25,32.61,31.21,3,121.52,1961690,1.16,2.61
30,10000,95,2.58,2.64,121.47,8.23,161.5,152.79,152.8,0.38,32.01,33.96,31.97,5,121.39,1973920,1.17,2.8
30,10000,95,2.58,2.51,121.72,8.22,151.74,149.15,149.16,0.4,30.49,30.96,30.46,3,121.64,1962340,1.15,2.43
30,10000,95,2.58,2.54,121.21,8.25,153.29,150.34,150.35,0.39,30.75,31.72,30.72,3,121.14,1937580,1.14,2.68
30,10000,95,2.58,2.61,121.41,8.24,159.1,152.36,152.37,0.38,31.63,32.62,31.59,4,121.34,1960270,1.16,2.44
