CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/?) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-??),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W],,,,ceff
20,10000,80,1.78,1.648333333,113.009299,8.848829334,125.2671861,117.470129,125.355914,0.606669998,18.62769945,17.8463094,18.67,2,112.967999,1544437,0.978448954,None,0.978449038,,,
20,10000,80,1.78,1.773333333,112.244326,8.909136307,134.1214586,144.1573859,134.207409,0.562924669,19.90466048,20.58270677,19.97,6,112.212033,1568783,1.00448208,None,1.004481996,,,
20,10000,80,1.78,1.873333333,112.890311,8.858156126,128.8474218,134.8767113,128.932179,0.533006934,21.14811826,22.41992883,21.19,3,112.857718,1607236,1.042811493,None,1.042811577,,,
30,10000,80,2.67,2.665,111.586209,8.961680919,134.940747,136.3422496,135.001301,0.375218332,29.7377247,30.51907442,29.75,3,111.558018,1810193,1.257540736,None,1.257540653,,,
30,10000,80,2.67,2.55,111.825149,8.942532238,135.3397844,141.2277329,135.399829,0.392050056,28.515413,28.88888889,28.53,4,111.795879,1766117,1.212827267,None,1.212827184,,,
30,10000,80,2.67,2.668333333,111.784352,8.94579592,137.6308566,143.960618,137.690016,0.37453622,29.82779126,31.04309806,29.85,5,111.749648,1811740,1.259353066,None,1.259353149,,,
30,10000,80,2.67,2.598333333,111.492029,8.969251066,133.80388,138.73797,133.863588,0.384398126,28.96934554,29.82681206,28.99,3,111.456505,1790915,1.237019508,None,1.237019425,,,
30,10000,80,2.67,2.698333333,111.483177,8.969963244,133.872457,126.5460462,133.879066,0.370435521,30.08187726,29.45353504,30.09,3,111.449725,1804310,1.25364816,None,1.253648077,,,
30,10000,80,2.67,2.751666667,111.582833,8.961952059,133.3759624,127.3387162,133.431558,0.363415606,30.70387621,29.58812841,30.72,4,111.552019,1823446,1.273567072,None,1.273567155,,,
30,10000,80,2.67,2.695,111.693974,8.953034476,133.0472239,126.5542479,133.101487,0.371014093,30.10152599,28.66419295,30.11,5,111.657559,1834469,1.280955486,None,1.280955403,,,
30,10000,80,2.67,2.668333333,116.944856,8.55103879,141.9734646,137.0124003,141.978404,0.374747448,31.20478574,30.75241961,31.2,3,116.912838,1812861,1.266001689,None,1.266001689,,,
30,10000,80,2.67,2.616666667,111.393896,8.977152572,132.9020446,129.9849892,132.957227,0.38205909,29.14806945,28.34394904,29.17,4,111.364586,1806746,1.252018244,None,1.252018161,,,
30,10000,80,2.67,2.696666667,111.502849,8.968380709,134.0622284,131.3254319,134.117882,0.370402178,30.06860161,30.03708282,30.08,3,111.474244,1832651,1.279187757,None,1.279187673,,,
40,10000,80,3.56,3.66,110.687854,9.034414923,148.9596393,151.480088,149.001242,0.273184866,40.51175456,41.43897996,40.49,5,110.661487,1976292,1.456229594,None,1.456229594,,,
40,10000,80,3.56,3.473333333,110.858382,9.020517727,145.5989616,144.3683894,145.646118,0.287781054,38.50481135,38.243762,38.49,6,110.832577,1950410,1.423262233,None,1.42326215,,,
